CNPJ_COMPANHIA,DATA_REFERENCIA,NOME_COMPANHIA,DATA_FIM_EXERCICIO_SOCIAL,ORGAO_ADMINISTRACAO,QTD_MEMBROS_REMUNERADOS_ACAO,DILUICAO_POTENCIAL,PRECO_MEDIO_PONDERADO_OPCOES_EM_ABERTO,PRECO_MEDIO_PONDERADO_OPCOES_PERDIDAS,PRECO_MEDIO_PONDERADO_OPCOES_EXERCIDAS,QTD_MEMBROS_REMUNERADOS_MIN_MAX_MEDIA,VALOR_MAIOR_REMUNERACAO,VALOR_MENOR_REMUNERACAO,VALOR_MEDIO_REMUNERACAO,OBSERVACAO_x,QTD_MEMBROS_REMUNERADOS_TOTAL,SALARIO,BENEFICIOS_DIRETOS_INDIRETOS,PARTICIPACOES_COMITES,OUTROS_VALORES_FIXOS,DESCRICAO_OUTROS_REMUNERACOES_FIXAS,BONUS,PARTICIPACAO_RESULTADOS,PARTICIPACAO_REUNIOES,OUTROS_VALORES_VARIAVEIS,COMISSOES,DESCRICAO_OUTROS_REMUNERACOES_VARIAVEIS,POS_EMPREGO,CESSACAO_CARGO,BASEADA_ACOES,OBSERVACAO_y,TOTAL_REMUNERACAO_ORGAO,QTD_MEMBROS_REMUNERADOS_VARIAVEL,BONUS_VALOR_MINIMO,BONUS_VALOR_MAXIMO,BONUS_VALOR_METAS_ATINGIDAS,BONUS_VALOR_EFETIVO,PARTICIPACAO_VALOR_MINIMO,PARTICIPACAO_VALOR_MAXIMO,PARTICIPACAO_VALOR_METAS_ATINGIDAS,PARTICIPACAO_VALOR_EFETIVO,SETOR_DE_ATIVDADE,ANO_REFER
00.000.000/0001-91,2025-12-31,BCO BRASIL S.A.,2022-12-31,Conselho Fiscal,,,,,,5.0,71813.04,71813.04,71804.87,"Conselho Fiscal: para o exercício de 2022, o valor médio apurado é a razão de R$ 371.231,20 por 5,17.PROBLEMA SISTÊMICO: O número de membros remunerados correto é 5,17, mas o sistema não permite a inserção correta, pois não considera a rotatividade de membros nas empresas.",5.0,371231.2,0.0,0.0,0.0,"A contribuição previdenciária patronal e a contribuição fundiária ao FGTS incidentes sobre o salário ou pró-labore dos membros da Diretoria Executiva, do Conselho de Administração e do Conselho Fiscal do BB constam do item 8.20, em conformidade com o item ""b"" do subtítulo 10.2.8 do Ofício-circular/Anual-2023-CVM/SEP, de 28/02/2023.",0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,"O número de membros remunerados de cada órgão corresponde à média anual do número de membros remunerados de cada órgão apurado mensalmente, com duas casas decimais, em conformidade com o Ofício-circular/Anual-2023-CVM/SEP, de 28/02/2023.",371231.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bancos,2022
00.000.000/0001-91,2025-12-31,BCO BRASIL S.A.,2023-12-31,Conselho Fiscal,,,,,,4.0,76660.44,76660.44,78728.39,"Em relação ao exercício social encerrado em 31 de dezembro de 2023, para os membros do Conselho Fiscal e da Diretoria Executiva, os respectivos membrosexerceram suas funções por 12 meses no Conselho de Administração, os respectivos membros exerceram suas funções por 9 meses.PROBLEMA SISTÊMICO: O número de membros remunerados correto é 4,08, mas o sistema não permite a inserção correta, pois não considera a rotatividade de membros nas empresas.",4.0,321211.83,0.0,0.0,0.0,Não aplicável,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,"1) O número de membros remunerados é de 4,08. O sistema não permite a inclusão, pois não prevê a rotatividade em seus parâmetros.2) A contribuição previdenciária patronal e a contribuição fundiária ao FGTS incidentes sobre a Remuneração Variável dos Administrados (RVA) constam do item 8.20, em conformidade com o subtítulo 10.2.8.2 do Ofício-circular/Anual2024-CVM/SEP, de 07/03/2024.O número total de membros de cada órgão (item ""b"" acima"") corresponde à média anual do número de membros de cada órgão apurado mensalmente.",321211.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bancos,2023
00.000.000/0001-91,2025-12-31,BCO BRASIL S.A.,2024-12-31,Conselho Fiscal,,,,,,5.0,80988.48,80988.48,80965.41,"Para o exercício de 2024, o valor médio apurado é a razão de R$ 418.591,16 por 5,17.PROBLEMA SISTÊMICO: O número de membros remunerados correto é 5,17, mas o sistema não permite a inserção correta, pois não considera a rotatividade de membros nas empresas.",5.0,418591.16,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,Não aplicável.,0.0,0.0,0.0,"1) O número total de membros de cada órgão (item ""b"" acima"") corresponde à média anual do número de membros de cada órgão apurado mensalmente.2) O número de membros remunerados correto é 5,17, mas o sistema não permite a inserção correta, pois não considera a rotatividade de membros nas empresas.",418591.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bancos,2024
00.000.000/0001-91,2025-12-31,BCO BRASIL S.A.,2025-12-31,Conselho Fiscal,,,,,,,,,,,5.0,470800.2,0.0,0.0,0.0,Não aplicável.,0.0,0.0,0.0,0.0,0.0,Não aplicável.,0.0,0.0,0.0,"1) Trata-se de previsão para 2025.2) O número total de membros de cada órgão (item ""b"" acima"") corresponde à média anual do número de membros de cada órgão apurado mensalmente.",470800.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bancos,2025
00.000.000/0001-91,2025-12-31,BCO BRASIL S.A.,2022-12-31,Conselho de Administração,,,,,,1.25,71813.04,71813.04,52184.14,"Conselho de Administração: para o exercício de 2022, o valor médio apurado é a razão de R$ 65.230,18 por 1,25.",1.25,65230.18,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,"A contribuição previdenciária patronal e a contribuição fundiária ao FGTS incidentes sobre o salário ou pró-labore dos membros da Diretoria Executiva, do Conselho de Administração e do Conselho Fiscal do BB constam do item 8.20, em conformidade com o item ""b"" do subtítulo 10.2.8 do Ofício-circular/Anual-2023-CVM/SEP, de 28/02/2023.",0.0,0.0,0.0,"O número de membros remunerados de cada órgão corresponde à média anual do número de membros remunerados de cada órgão apurado mensalmente, com duas casas decimais, em conformidade com o Ofício-circular/Anual-2023-CVM/SEP, de 28/02/2023.",65230.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bancos,2022
00.000.000/0001-91,2025-12-31,BCO BRASIL S.A.,2023-12-31,Conselho de Administração,,,,,,4.33,52836.46,14133.21,78033.97,"Em relação ao exercício social encerrado em 31 de dezembro de 2023, para os membros do Conselho Fiscal e da Diretoria Executiva, os respectivos membrosexerceram suas funções por 12 meses no Conselho de Administração, os respectivos membros exerceram suas funções por 9 meses.",4.33,337887.1,0.0,0.0,0.0,Não Aplicável,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,"A contribuição previdenciária patronal e a contribuição fundiária ao FGTS incidentes sobre a Remuneração Variável dos Administrados (RVA) constam do item 8.20, em conformidade com o subtítulo 10.2.8.2 do Ofício-circular/Anual2024-CVM/SEP, de 07/03/2024.O número total de membros de cada órgão (item ""b"" acima"") corresponde à média anual do número de membros de cada órgão apurado mensalmente.",337887.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bancos,2023
00.000.000/0001-91,2025-12-31,BCO BRASIL S.A.,2024-12-31,Conselho de Administração,,,,,,3.33,80988.48,80988.48,74221.31,"Para o exercício de 2024, o valor médio apurado é a razão de R$ 247.156,98 por 3,33.",3.33,247156.98,0.0,0.0,0.0,Não aplicável.,0.0,0.0,0.0,0.0,0.0,Não aplicável.,0.0,0.0,0.0,"1) O número total de membros de cada órgão (item ""b"" acima"") corresponde à média anual do número de membros de cada órgão apurado mensalmente.",247156.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bancos,2024
00.000.000/0001-91,2025-12-31,BCO BRASIL S.A.,2025-12-31,Conselho de Administração,,,,,,,,,,,8.0,753280.32,0.0,0.0,0.0,Não aplicável.,0.0,0.0,0.0,0.0,0.0,Não aplicável.,0.0,376640.16,0.0,"1) Trata-se de previsão para 2025.2) O número total de membros de cada órgão (item ""b"" acima"") corresponde à média anual do número de membros de cada órgão apurado mensalmente.",1129920.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bancos,2025
00.000.000/0001-91,2025-12-31,BCO BRASIL S.A.,2022-12-31,Diretoria Estatutária,,,,,,31.83,1485065.06,1038588.13,1130563.96,"Diretoria Executiva: Para o exercício de 2022, o valor médio apurado é a razão de R$ 43.997.780,67 por 38,92.PROBLEMA SISTÊMICO - O número de membros remunerados correto é 38,92, mas o sistema não permite a inserção correta, pois não considera a rotatividade de membros nas empresas.",31.83,22877213.56,3533055.58,0.0,0.0,"A contribuição previdenciária patronal e a contribuição fundiária ao FGTS incidentes sobre o salário ou pró-labore dos membros da Diretoria Executiva, do Conselho de Administração e do Conselho Fiscal do BB constam do item 8.20, em conformidade com o item ""b"" do subtítulo 10.2.8 do Ofício-circular/Anual-2023-CVM/SEP, de 28/02/2023.",0.0,0.0,0.0,10012413.52,0.0,"A contribuição previdenciária patronal e a contribuição fundiária ao FGTS incidentes sobre a Remuneração Variável dos Administrados (RVA) constam do item 8.20, em conformidade com o item ""b"" do subtítulo 10.2.8 do Ofício-circular/Anual-2023-CVM/SEP, de 28/02/2023.",0.0,52177.45,7522920.56,"PROBLEMA SISTÊMICO - a informação correta para o campo ""nº de membros remunerados"" é 38,92. O sistema não aceita a inclusão do número correto nos itens 8.2, 8.3 e 8.15. Para permitir a inclusão dos dados e finalizar a entrega deste Formulário, fizemos o ajuste manual e estamos incluindo esta observação.O número de membros remunerados de cada órgão corresponde à média anual do número de membros remunerados de cada órgão apurado mensalmente, com duas casas decimais, em conformidade com o Ofício-circular/Anual-2023-CVM/SEP, de 28/02/2023.",43997780.67,31.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bancos,2022
00.000.000/0001-91,2025-12-31,BCO BRASIL S.A.,2023-12-31,Diretoria Estatutária,,,,,,30.75,1598364.31,1256005.44,1141614.29,"Para o exercício 2023, o valor médio apurado é a razão de R$ 48.518.607,45 por 42,50.Em relação ao exercício social encerrado em 31 de dezembro de 2023, para os membros do Conselho Fiscal e da Diretoria Executiva, os respectivos membrosexerceram suas funções por 12 meses no Conselho de Administração, os respectivos membros exerceram suas funções por 9 meses.PROBLEMA SISTÊMICO: O número de membros remunerados correto é 42,50, mas o sistema não permite a inserção correta, pois não considera a rotatividade de membros nas empresas.",30.75,23593795.26,4291854.28,0.0,0.0,Não aplicável.,0.0,0.0,0.0,8535804.47,0.0,Referem-se a parcelas da Remuneração Variável dos Administrados (RVA) pagas em espécie no ano-calendário (visão Regime de Caixa).,0.0,3502597.29,8594556.15,"1) O número de membros remunerados é de 42,50. O sistema não permite a inclusão, pois não prevê a rotatividade em seus parâmetros.2) A contribuição previdenciária patronal e a contribuição fundiária ao FGTS incidentes sobre a Remuneração Variável dos Administrados (RVA) constam do item 8.20, em conformidade com o subtítulo 10.2.8.2 do Ofício-circular/Anual2024-CVM/SEP, de 07/03/2024.O número total de membros de cada órgão (item ""b"" acima"") corresponde à média anual do número de membros de cada órgão apurado mensalmente.",48518607.45,30.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bancos,2023
