CNPJ_Companhia,Data_Referencia,Versao,ID_Documento,NOME_COMPANHIA,Data_Inicio_Exercicio_Social,Data_Fim_Exercicio_Social,Total_Remuneracao,ORGAO_ADMINISTRACAO,Numero_Membros,TOTAL_REMUNERACAO_ORGAO,NUM_MEMBROS_TOTAL,REM_FIXA_SALARIO,REM_FIXA_BENEFICIOS,REM_FIXA_COMITES,REM_FIXA_OUTROS,Descricao_Outros_Remuneracoes_Fixas,REM_VAR_BONUS,REM_VAR_PLR,REM_VAR_REUNIOES,REM_VAR_OUTROS,REM_VAR_COMISSOES,Descricao_Outros_Remuneracoes_Variaveis,REM_POS_EMPREGO,REM_CESSACAO_CARGO,REM_ACOES_BLOCO3,Observacao,NUM_MEMBROS_INDIVIDUAL,REM_MAXIMA_INDIVIDUAL,REM_MINIMA_INDIVIDUAL,REM_MEDIA_INDIVIDUAL,NUM_MEMBROS_BONUS_PLR,BONUS_MIN,BONUS_MAX,BONUS_ALVO,BONUS_PAGO,PLR_MIN,PLR_MAX,PLR_ALVO,PLR_PAGO,ANO_REFER,UF_SEDE,SETOR_ATIVIDADE,CONTROLE_ACIONARIO
00.000.000/0001-91,2025-12-31,17,154804,BCO BRASIL S.A.,2022-01-01,2022-12-31,44434242.05,CONSELHO DE ADMINISTRAÇÃO,8.0,65230.18,1.25,65230.18,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,"A contribuição previdenciária patronal e a contribuição fundiária ao FGTS incidentes sobre o salário ou pró-labore dos membros da Diretoria Executiva, do Conselho de Administração e do Conselho Fiscal do BB constam do item 8.20, em conformidade com o item ""b"" do subtítulo 10.2.8 do Ofício-circular/Anual-2023-CVM/SEP, de 28/02/2023.",0.0,0.0,0.0,"O número de membros remunerados de cada órgão corresponde à média anual do número de membros remunerados de cada órgão apurado mensalmente, com duas casas decimais, em conformidade com o Ofício-circular/Anual-2023-CVM/SEP, de 28/02/2023.",1.25,71813.04,71813.04,52184.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022,DF,Bancos,ESTATAL
00.000.000/0001-91,2025-12-31,17,154804,BCO BRASIL S.A.,2022-01-01,2022-12-31,44434242.05,DIRETORIA ESTATUTÁRIA,31.83,43997780.67,31.83,22877213.56,3533055.58,0.0,0.0,"A contribuição previdenciária patronal e a contribuição fundiária ao FGTS incidentes sobre o salário ou pró-labore dos membros da Diretoria Executiva, do Conselho de Administração e do Conselho Fiscal do BB constam do item 8.20, em conformidade com o item ""b"" do subtítulo 10.2.8 do Ofício-circular/Anual-2023-CVM/SEP, de 28/02/2023.",0.0,0.0,0.0,10012413.52,0.0,"A contribuição previdenciária patronal e a contribuição fundiária ao FGTS incidentes sobre a Remuneração Variável dos Administrados (RVA) constam do item 8.20, em conformidade com o item ""b"" do subtítulo 10.2.8 do Ofício-circular/Anual-2023-CVM/SEP, de 28/02/2023.",0.0,52177.45,7522920.56,"PROBLEMA SISTÊMICO - a informação correta para o campo ""nº de membros remunerados"" é 38,92. O sistema não aceita a inclusão do número correto nos itens 8.2, 8.3 e 8.15. Para permitir a inclusão dos dados e finalizar a entrega deste Formulário, fizemos o ajuste manual e estamos incluindo esta observação.O número de membros remunerados de cada órgão corresponde à média anual do número de membros remunerados de cada órgão apurado mensalmente, com duas casas decimais, em conformidade com o Ofício-circular/Anual-2023-CVM/SEP, de 28/02/2023.",31.83,1485065.06,1038588.13,1130563.96,31.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022,DF,Bancos,ESTATAL
00.000.000/0001-91,2025-12-31,17,154804,BCO BRASIL S.A.,2022-01-01,2022-12-31,44434242.05,CONSELHO FISCAL,5.0,371231.2,5.0,371231.2,0.0,0.0,0.0,"A contribuição previdenciária patronal e a contribuição fundiária ao FGTS incidentes sobre o salário ou pró-labore dos membros da Diretoria Executiva, do Conselho de Administração e do Conselho Fiscal do BB constam do item 8.20, em conformidade com o item ""b"" do subtítulo 10.2.8 do Ofício-circular/Anual-2023-CVM/SEP, de 28/02/2023.",0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,"O número de membros remunerados de cada órgão corresponde à média anual do número de membros remunerados de cada órgão apurado mensalmente, com duas casas decimais, em conformidade com o Ofício-circular/Anual-2023-CVM/SEP, de 28/02/2023.",5.0,71813.04,71813.04,71804.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022,DF,Bancos,ESTATAL
00.000.000/0001-91,2025-12-31,17,154804,BCO BRASIL S.A.,2023-01-01,2023-12-31,49177706.38,CONSELHO FISCAL,4.0,321211.83,4.0,321211.83,0.0,0.0,0.0,Não aplicável,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,"1) O número de membros remunerados é de 4,08. O sistema não permite a inclusão, pois não prevê a rotatividade em seus parâmetros.2) A contribuição previdenciária patronal e a contribuição fundiária ao FGTS incidentes sobre a Remuneração Variável dos Administrados (RVA) constam do item 8.20, em conformidade com o subtítulo 10.2.8.2 do Ofício-circular/Anual2024-CVM/SEP, de 07/03/2024.O número total de membros de cada órgão (item ""b"" acima"") corresponde à média anual do número de membros de cada órgão apurado mensalmente.",4.0,76660.44,76660.44,78728.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,DF,Bancos,ESTATAL
00.000.000/0001-91,2025-12-31,17,154804,BCO BRASIL S.A.,2023-01-01,2023-12-31,49177706.38,DIRETORIA ESTATUTÁRIA,30.75,48518607.45,30.75,23593795.26,4291854.28,0.0,0.0,Não aplicável.,0.0,0.0,0.0,8535804.47,0.0,Referem-se a parcelas da Remuneração Variável dos Administrados (RVA) pagas em espécie no ano-calendário (visão Regime de Caixa).,0.0,3502597.29,8594556.15,"1) O número de membros remunerados é de 42,50. O sistema não permite a inclusão, pois não prevê a rotatividade em seus parâmetros.2) A contribuição previdenciária patronal e a contribuição fundiária ao FGTS incidentes sobre a Remuneração Variável dos Administrados (RVA) constam do item 8.20, em conformidade com o subtítulo 10.2.8.2 do Ofício-circular/Anual2024-CVM/SEP, de 07/03/2024.O número total de membros de cada órgão (item ""b"" acima"") corresponde à média anual do número de membros de cada órgão apurado mensalmente.",30.75,1598364.31,1256005.44,1141614.29,30.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,DF,Bancos,ESTATAL
00.000.000/0001-91,2025-12-31,17,154804,BCO BRASIL S.A.,2023-01-01,2023-12-31,49177706.38,CONSELHO DE ADMINISTRAÇÃO,7.83,337887.1,4.33,337887.1,0.0,0.0,0.0,Não Aplicável,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,"A contribuição previdenciária patronal e a contribuição fundiária ao FGTS incidentes sobre a Remuneração Variável dos Administrados (RVA) constam do item 8.20, em conformidade com o subtítulo 10.2.8.2 do Ofício-circular/Anual2024-CVM/SEP, de 07/03/2024.O número total de membros de cada órgão (item ""b"" acima"") corresponde à média anual do número de membros de cada órgão apurado mensalmente.",4.33,52836.46,14133.21,78033.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,DF,Bancos,ESTATAL
00.000.000/0001-91,2025-12-31,17,154804,BCO BRASIL S.A.,2024-01-01,2024-12-31,58992958.2,CONSELHO FISCAL,5.0,418591.16,5.0,418591.16,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,Não aplicável.,0.0,0.0,0.0,"1) O número total de membros de cada órgão (item ""b"" acima"") corresponde à média anual do número de membros de cada órgão apurado mensalmente.2) O número de membros remunerados correto é 5,17, mas o sistema não permite a inserção correta, pois não considera a rotatividade de membros nas empresas.",5.0,80988.48,80988.48,80965.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,DF,Bancos,ESTATAL
00.000.000/0001-91,2025-12-31,17,154804,BCO BRASIL S.A.,2024-01-01,2024-12-31,58992958.2,DIRETORIA ESTATUTÁRIA,31.58,58327210.06,31.58,25591347.08,5400912.15,0.0,0.0,Não aplicavel,0.0,0.0,0.0,12656966.92,0.0,"Referem-se a parcelas da Remuneração Variável dos Administrados (RVA) pagas em espécie no ano-calendário (visão Regime de Caixa).O número total de membros de cada órgão (item ""b"" acima"") corresponde à média anual do número de membros de cada órgão apurado mensalmente.O número total de remunerados",0.0,589579.42,14088404.49,"O número total de membros de cada órgão (item ""b"" acima"") corresponde à média anual do número de membros de cada órgão apurado mensalmente.Referem-se a parcelas da Remuneração Variável dos Administrados (RVA).O número de membros remunerados correto é 38,42, mas o sistema não permite a inserção correta, pois não considera a rotatividade de membros nas empresas.",31.58,2018881.45,1216825.06,1518147.06,31.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,DF,Bancos,ESTATAL
00.000.000/0001-91,2025-12-31,17,154804,BCO BRASIL S.A.,2024-01-01,2024-12-31,58992958.2,CONSELHO DE ADMINISTRAÇÃO,8.0,247156.98,3.33,247156.98,0.0,0.0,0.0,Não aplicável.,0.0,0.0,0.0,0.0,0.0,Não aplicável.,0.0,0.0,0.0,"1) O número total de membros de cada órgão (item ""b"" acima"") corresponde à média anual do número de membros de cada órgão apurado mensalmente.",3.33,80988.48,80988.48,74221.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,DF,Bancos,ESTATAL
00.000.000/0001-91,2025-12-31,17,154804,BCO BRASIL S.A.,2025-01-01,2025-12-31,90731029.45,CONSELHO DE ADMINISTRAÇÃO,8.0,1129920.48,8.0,753280.32,0.0,0.0,0.0,Não aplicável.,0.0,0.0,0.0,0.0,0.0,Não aplicável.,0.0,376640.16,0.0,"1) Trata-se de previsão para 2025.2) O número total de membros de cada órgão (item ""b"" acima"") corresponde à média anual do número de membros de cada órgão apurado mensalmente.",,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,DF,Bancos,ESTATAL
